orcid_id;begin;end;role;institution;city;country;speciality
0000-0002-0237-2532;1996;1997;Year abroad (Erasmus);University of Leeds School of Politics and International Studies;Leeds;GB;Politics and International Studies
0000-0001-5542-3754;1992;;Writer, Data scientist, AI Specialist, On-Air Talent, Producer;Freelance;Montréal;CA;Video game, Interactive Media and television industries
0000-0001-9288-1754;2009;2015;Web services librarian;Université Bordeaux III;Pessac;FR;Library and Information Science
0000-0003-2827-1569;2014;2015;Web Developer;Modern Language Association;New York;US; None
0000-0002-2475-3184;2019;;Web & IT Administration;Justus Liebig Universitat Giessen;Giessen;DE;International Graduate Centre for the Study of Culture
0000-0002-1951-6942;2022;;Visiting lecturer;Columbia University;New York;US;INCITE
0000-0002-0287-7493;2017;2018;Visiting lecturer;University of Roehampton;London;GB;Humanities
0000-0002-0287-7493;2015;2016;Visiting lecturer;University of Roehampton;London;GB;Humanities
0000-0002-1951-6942;2014;;Visiting lecturer;École nationale des chartes;Paris;FR; None
0000-0002-9192-6233;2018;2019;Visiting Assistant Professor;University of Maryland;College Park;US;German
0000-0002-9126-2991;2016;2016;Visiting Assistant Professor;Brown University;Providence;US;Egyptology and Assyriology
0000-0002-5440-062X;2021;;Visiting Assistant Professor;Denison University;Granville;US;Data Analytics
0000-0001-8584-8323;2009;2015;Various roles (research fellow, webmaster, research assistant);Maryland Institute for Technology in the Humanities;College Park;US;Technology in the Humanities
0000-0002-2877-0539;2011;2011;Tutor in Logic;University of Oxford;Oxford;GB;Faculty of Philosophy
0000-0003-2740-7831;2014;2019;Título Superior en Arte Dramático;Escuela Superior de Arte Dramático de Asturias;Gijón;ES;Arte Dramático
0000-0003-2495-7213;2016;;TÉCNICO PRINCIPAL;Consejo Nacional de Investigaciones Científicas y Técnicas;Buenos Aires;AR;CAICYT (Centro Argentino de Información Científica y Tecnológica)
0000-0002-2094-8216;2011;2012;Técnico Júnior em Arqueologia;Arqueologia Brasil;Natal;BR;Archeology
0000-0003-2495-7213;2002;2011;Técnico auxiliar;Consejo Nacional de Investigaciones Cientificas y Tecnicas;Buenos Aires;AR;IDEHU 
0000-0003-2495-7213;2011;2016;TÉCNICO ADJUNTO;Consejo Nacional de Investigaciones Cientificas y Tecnicas;Buenos Aires;AR;IDEHESI- Instituto de Estudios Históricos, Económicos, Sociales e Internacionales 
0000-0001-5293-8322;2009;2014;Technical Coordinator Research;Koninklijke Bibliotheek;The Hague;NL;Innovation & IT
0000-0002-0237-2532;2005;2007;Teaching Fellow;" ""Université de Strasbourg Institut d'Etudes Politiques""";Strasbourg;FR; None
0000-0002-2128-0641;2018;2020;Teaching Fellow;Université de Lille;Lille;FR;History
0000-0002-2128-0641;2020;;Teaching Fellow;Université de Strasbourg;Strasbourg;FR;" ""Département d'Histoire des Sciences de la Vie et de la Santé (DHVS)"""
0000-0003-4981-1587;2005;2007;Teaching Assistant;University of New Hampshire;Durham;US;History
0000-0001-5759-4944;2012;2014;Teaching Assistant;Université Bordeaux Montaigne;Pessac;FR;Département d’Histoire de l’Art et d’Archéologie
0000-0002-6678-7606;2021;;Studentische Hilfskraft;Universität Potsdam;Potsdam;DE;Insitut für Romanistik
0000-0002-1470-7723;2012;2012;SSHRC Postdoctoral Fellow;Western University;London;CA;History
0000-0001-9532-3133;2003;2003;Software Engineer;INCA, Servicios y Proyectos de Ingeniería Civil, SA;Oviedo;ES; None
0000-0002-3752-9536;2012;2015;Sobresaliente cum Laude;Universidad de Zaragoza;Zaragoza;ES;Doctorado en Filología Española
0000-0003-4158-6186;2021;;Senior Web Developer;George Mason University;Fairfax;US;Roy Rosenzweig Center for History and New Media
0000-0001-9532-3133;2013;2015;Senior Software Engineer;Tyba;Madrid;ES; None
0000-0002-8160-0942;1998;;Senior Manager;Canada Mortgage and Housing Corp;Ottawa;CA;Information Technology
0000-0002-3440-6039;1993;2012;Senior Lecturer;Université de Franche-Comté;Besancon;FR;UFR SLHS, English department
0000-0003-4343-0265;2017;2020;Senior Lecturer;University of Hertfordshire;Hatfield;GB;History
0000-0001-9597-1026;;;Senior Lecturer;University of Edinburgh;Edinburgh;GB;English
0000-0002-4352-2154;2022;;Senior Lecturer;Institute of Historical Research, University of London;London;GB;Historical Research
0000-0001-9532-3133;2008;2014;Senior ITC Officer;Centro de Ciencias Humanas y Sociales;Madrid;ES;ITC
0000-0002-5750-5988;;;Senior Data Analyst;The Demographic Health Surveys Program, ICF;Rockville;US; None
0000-0002-1895-3905;2019;2021;Scientific Researcher;Österreichische Akademie der Wissenschaften;Vienna;AT;Austrian Center for Digital Humanities
0000-0001-9488-5986;2020;;Scientific member;Casa de Velázquez;Madrid;ES; None
0000-0003-1286-3893;2007;;Responsable informatique;" ""Ecole française d'Extrême-Orient""";Paris;FR;IT
0000-0001-9759-8464;2018;;Resident Media Librarian;Florida State University;Tallahassee;US;Office of Digital Reserach and Scholarship
0000-0002-5958-0551;2016;;Researcher;Royal Netherlands Academy of Arts & Sciences (KNAW);Amsterdam;NL;Nederlandse Etnologie (MI)
0000-0001-5293-8322;2003;2009;Researcher;Bayerische Staatsbibliothek;Munich;DE;Munich Digitization Center
0000-0002-8997-5415;2013;;Researcher;Consejo Nacional de Investigaciones Científicas y Técnicas;Buenos Aires;AR;IIBICRIT
0000-0002-8916-4997;2011;2015;Researcher;Universitat Pompeu Fabra;Barcelona;ES;Humanities
0000-0003-2646-6784;2021;;Researcher;Vrije Universiteit Amsterdam;Amsterdam;NL;Faculty of Science, Business Web and Media
0000-0002-0237-2532;2008;2011;Researcher;" ""Centre Virtuel de la Connaissance sur l'Europe""";Sanem;LU;European Integration Studies
0000-0002-1637-8505;2009;;Researcher;Fundação Getulio Vargas;Rio de Janeiro;BR;CPDOC
0000-0002-6255-3781;2001;;Researcher;Fundação Getulio Vargas;Rio de Janeiro;BR;CPDOC
0000-0001-6959-6605;2019;;Researcher;University of Bedfordshire Business School;Luton;GB;Business and Management Research Institute
0000-0001-7204-6428;2016;;Researcher;Centre Marc Bloch;Berlin;DE; None
0000-0003-2646-6784;2004;2005;Researcher;The National Museum of Modern Art, Tokyo;Tokyo;JP; None
0000-0002-1895-3905;2020;2021;Researcher;Donau-Universität Krems;Krems;AT; Bildwissenschaft
0000-0001-6778-4610;2018;;Research Fellow;University of Sussex;Brighton;GB;Media, Film and Music | Sussex Humanities Lab
0000-0002-5440-062X;2017;2017;Research Fellow;Carnegie Mellon University;Pittsburgh;US;English
0000-0002-9433-2799;2010;2011;Research Fellow;Instituto de História Contemporânea;Lisboa;PT;História Contemporânea
0000-0002-1456-7812;;;Research Fellow;Open University;Milton Keynes;GB; None
0000-0002-4387-3384;2018;;Research Engineer;Carnegie Mellon University;Pittsburgh;US;Unviersity Libraries
0000-0003-0850-8266;2021;;Research Engineer;Sorbonne Université;Paris;FR;Projet Antonomaz
0000-0001-8627-8991;2021;2022;Research Engineer;CNRS;Tours;FR;MSH Val-de-Loire
0000-0003-3094-139X;2013;;Research Engineer;University of Maryland;College Park;US;Maryland Institute for Technology in the Humanities
0000-0002-0237-2532;2013;2015;Research Engineer;Université Paris-Sorbonne;Paris;FR;LabEx EHNE
0000-0001-9532-3133;2003;2008;Research Engineer;IGME;Madrid;ES;Groundwater and Hidrogeology
0000-0001-6122-0777;2002;2005;Research Engineer;Universidad de Alicante;Alicante;ES;Escuela Politécnica Superior
0000-0003-4482-7897;2020;2021;Research Engineer;Inria;Paris;FR;ALMAnaCH
0000-0001-5452-3913;2016;2018;Research Engineer;Inria;Le Chesnay;FR; None
0000-0003-0275-5143;2013;2015;Research Engineer;Labex Les Passés dans le présent;Nanterre;FR; None
0000-0002-9189-258X;2020;;Research Engineer;Inria;Paris;FR; None
0000-0001-6959-6605;2016;2016;Research Consultant;The Open University;Milton Keynes;GB;Faculty of Mathematics, Computing and Technology
0000-0002-0734-3538;2013;;Research Assistant;University College London;London;GB;SELCS
0000-0003-2346-2876;2019;2019;Research Assistant;University of Illinois;Urbana;US;School of Information Sciences
0000-0001-6959-6605;2017;2018;Research Assistant;University of Manchester;Manchester;GB;School of Arts, Languages, and Cultures
0000-0001-6959-6605;2010;2010;Research Assistant;Universidade Católica Portuguesa Centro Regional do Porto;Porto;PT;School of Arts
0000-0001-6959-6605;2009;2009;Research Assistant;Universidade do Porto;Porto;PT;INESC
0000-0002-6051-6274;2019;2020;Research Assistant;Birkbeck University of London;London;GB;History
0000-0001-6959-6605;2016;2016;Research Assistant;The Open University;Milton Keynes;GB;Faculty of Mathematics, Computing and Technology
0000-0002-6051-6274;2020;2020;Research Assistant;Newcastle University;Newcastle upon Tyne;GB;English
0000-0002-6051-6274;2006;2017;Research Assistant;University of Sheffield;Sheffield;GB;Digital Humanities Institute
0000-0003-2852-065X;2020;2021;Research Assistant;University of Cologne;Cologne;DE;Department of Art History
0000-0003-2852-065X;2011;2015;Research Assistant;University of Cologne;Cologne;DE;Cologne Center for eHumanities
0000-0003-2852-065X;2015;2020;Research Assistant;University of Würzburg;Wurzburg;DE;Chair of Computational Philology
0000-0003-2852-065X;2011;2013;Research Assistant;Carl von Ossietzky University of Oldenburg;Oldenburg;DE;Chair for German Philology
0000-0003-2852-065X;2010;2010;Research Assistant;University of Bonn;Bonn;DE;Centre for the Classical Tradition (CCT)
0000-0001-5293-8322;2014;;Research Advisor;Staatsbibliothek zu Berlin - Preußischer Kulturbesitz;Berlin;DE;DG
0000-0003-2646-6784;2016;2016;Project monitor;European Commission;Brussels;BE; None
0000-0003-4343-0265;2014;2014;Project Manager;University of London;London;GB;Institute of Historical Research
0000-0001-8251-7131;2013;2022;Project Manager;University of Florida;Gainesville;US;George A. Smathers Libraries
0000-0002-3575-1512;2016;;Project Manager;Wake Forest University School of Medicine;Winston-Salem;US;Family and Community Medicine
0000-0002-6051-6274;2006;2017;Project Manager;University of Sheffield;Sheffield;GB;Digital Humanities Institute
0000-0002-1367-1618;2022;;Project Manager;University of Basel;Basel;CH;Department of History
