pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;1;0000-0002-9029-5564;1;1;0;0;0;0;0;0;1;Phd;QC;CA;UniversitÃ© du QuÃ©bec Ã  MontrÃ©al;Political Science
Sofia Papastamkou;10/04/2019;01/04/2022;3;16;1;0;0;0;2;13;2;17;0000-0002-5148-1348;1;1;1;0;0;0;1;1;1;None;None;None;None;None
FranÃ§ois Dominic LaramÃ©e;20/02/2018;10/06/2021;3;14;2;0;0;1;7;5;3;16;0000-0001-5542-3754;1;1;1;0;0;1;1;1;1;Post-doc;Ottawa;CA;University of Ottawa;Faculty of Medicine
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-5759-4944;1;1;0;0;0;1;0;0;0;None;None;None;None;None
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-7503-8685;1;1;0;0;0;1;0;0;0;None;None;None;None;None
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0002-4553-8993;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0001-8627-8991;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-4003-3141;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Alix ChaguÃ©;01/07/2019;09/05/2020;1;3;0;0;0;0;2;0;1;3;0000-0002-0136-4434;1;1;0;0;0;0;1;0;1;None;None;None;None;None
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;1;0;1;2;0000-0001-8531-8488;1;1;0;0;0;0;1;0;1;None;None;None;None;None
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;1;0;2;3;0000-0001-9288-1754;1;1;0;0;0;0;1;0;1;None;None;None;None;None
FrÃ©dÃ©ric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;2;0;0;2;0000-0002-0237-2532;1;1;1;0;0;0;1;0;0;None;None;None;None;None
DÃ©borah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-2128-0641;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-3440-6039;1;1;0;0;0;0;1;0;0;None;None;None;None;None
