pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total contrib;orcid_id;have_orcid;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-9029-5564;1;;Phd;;;QC;;;CA;;;Université du Québec à Montréal;;;Political Science;
Sofia Papastamkou;10/04/2019;01/04/2022;3;16;1;0;0;0;0;3;2;10;2;17;0000-0002-5148-1348;1;;;;;;;;;;;;;;;
Antoine Champigny;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
François Dominic Laramée;20/02/2018;10/06/2021;3;14;2;0;0;1;1;0;3;5;6;16;0000-0001-5542-3754;1;Master;Post-doc;;Montreal;Ottawa;;CA;CA;;Concordia University;University of Ottawa;;Informatique / Computer Science;Faculty of Medicine;
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;1;0000-0001-5759-4944;1;Phd;;;Pessac;;;FR;;;Université Bordeaux Montaigne;;;Art & Archeology;;
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;1;0000-0001-7503-8685;1;Master;;;Pessac;;;FR;;;Université Bordeaux Montaigne;;;None;;
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0002-4553-8993;1;;;;;;;;;;;;;;;
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0001-8627-8991;1;;;;;;;;;;;;;;;
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0003-4003-3141;1;;;;;;;;;;;;;;;ALMAnaCH
Alix Chagué;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;1;0;2;3;0000-0002-0136-4434;1;;;Phd;;;Paris;;;FR;;;Inria;;;
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;0;0;1;0;1;2;0000-0001-8531-8488;1;;;;;;;;;;;;;;;
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;2;0;1;3;0000-0001-9288-1754;1;Web services librarian;;;Pessac;;;FR;;;Université Bordeaux III;;;Library and Information Science;;
Frédéric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;1;0;0;0;1;2;0000-0002-0237-2532;1;Year abroad (Erasmus);;;Leeds;;;GB;;;University of Leeds School of Politics and International Studies;;;Politics and International Studies;;
Déborah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-2128-0641;1;Phd;;;Florence;;;IT;;;European University Institute;;;Department of History and Civilization;;
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-3440-6039;1;Professor;;;Besancon;;;FR;;;Université de Franche-Comté;;;UFR SLHS, English department;;
Carla Amaya;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;
Célian Ringwald;10/06/2021;10/09/2021;0;2;0;0;0;0;0;0;0;1;1;2;0000-0002-7302-9037;1;;;;;;;;;;;;;;;
Cyrille Suire;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
Antoine Gourlay;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-1016-213X;1;;;;;;;;;;;;;;;
Gwenaëlle Patat;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;1;0;1;0000-0002-8520-3485;1;;;;;;;;;;;;;;;
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-4482-7897;1;;;;;;;;;;;;;;;
Jean-Luc Mirepoix;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-9189-258X;1;;;;;;;;;;;;;;;
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;0;0;1;1;3;5;0000-0002-2475-3184;1;MA;;;Montreal;;;CA;;;Université de Montréal;;;German;;
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;1;0;1;0000-0001-9488-5986;1;;;;;;;;;;;;;;;
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-0850-8266;1;MSc;;;Paris;;;FR;;;École nationale des chartes;;; None;;
Géraldine Castel;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;Département des collections et de la conservation
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-0275-5143;1;Research Engineer;Chef du service numérique de la recherche;Chargé de développement des ressources numériques du Centre de Ressources et de Recherches ;Nanterre;Paris;Paris;FR;FR;FR;Labex Les Passés dans le présent;" ""Institut National d'Histoire de l'Art""";Etablissement public du musée d’Orsay et du musée de l’Orangerie Valérie Giscard d’Estain; None;Département des études et de la recherche;
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;0;0;1;0000-0003-1286-3893;1;MSc;;;Paris;;;FR;;;Sorbonne Université;;; None;;
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;0000-0001-5318-9167;1;;;;;;;;;;;;;;;
Morgane Pica;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;0000-0002-4903-1372;1;Post-doc;;;Guyancourt;;;FR;;;Université de Versailles-Saint-Quentin-en-Yvelines;;; None;;
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;0;1;0;0;1;2;0000-0003-4722-4610;1;;;;;;;;;;;;;;;
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;1;0000-0001-7443-5849;1;;;;;;;;;;;;;;;
Fanny Mézard;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
Anastasiia Zadykhina;30/07/2020;30/07/2020;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;" ""Méthodes Numériques pour les Sciences de l'Humain et de la Société"""
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;0;0;0;0;2;2;0000-0001-5452-3913;1;Research Engineer;Post-doc;Enseignante-chercheuse;Le Chesnay;Lyon;Le Kremlin-Bicetre;FR;FR;FR;Inria;CNRS;EPITECH; None;LARHRA;
Camille Carette;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;INCITE
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-1951-6942;1;Engineer;;Visiting lecturer;Paris;;New York;FR;;US;Ecole des Hautes Etudes en Sciences Sociales;;Columbia University; None;;
Sybille Clochet;10/04/2019;10/04/2019;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;
Anne-Sophie Bessero-Lagarde;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-3184-3943;1;Phd;;;Lausanne;;;CH;;;Université de Lausanne;;; None;;
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-4130-6669;1;Master;;;Villeurbanne;;;FR;;;" ""Ecole Nationale Superieur des Sciences de l'Information et des Bibliotheques""";;;" ""Sciences de l'information et des bibliothèques";;Data Analytics
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-3867-9138;1;Phd;Clinical Assistant Professor and Director of Digital Media Lab;Assistant Professor;Iowa City;Pittsburgh;Granville;US;US;US;University of Iowa;University of Pittsburgh;Denison University;English;English;
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;0;0;2;0000-0001-5802-6623;1;Digital Scholarship Specialist / IT Analyst;;;Berkeley;;;US;;;University of California Berkeley;;;Research IT;;
Catherine Nygren;13/05/2019;13/05/2019;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;0;0;3;0000-0003-2012-8805;1;;;;;;;;;;;;;;;
Kellen Kurschinski;13/09/2013;13/09/2013;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;0;0;3;0000-0003-1891-1112;1;Adjunct Faculty;;;Detroit;;;US;;;Wayne State University;;;School of Information Sciences;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0276-8078;1;Phd;;;Cambridge;;;US;;;Harvard University;;;History;;Office of Research
