Source;Target
214;308
244;308
66;308
8;308
69;308
46;306
59;305
303;305
136;305
139;305
271;305
304;302
196;302
225;302
145;301
301;301
187;301
205;301
118;300
198;300
200;300
197;300
275;300
280;298
272;297
144;297
12;296
278;296
104;296
193;294
160;294
81;293
160;292
46;291
306;291
73;291
103;291
156;289
259;289
262;289
281;289
65;289
244;288
3;286
234;286
108;285
31;285
98;282
151;282
130;282
240;279
45;279
124;278
231;278
53;278
117;278
186;278
208;278
12;278
285;278
188;278
108;278
304;278
196;278
225;278
302;278
33;278
21;278
207;278
284;278
27;278
46;278
306;278
73;278
291;278
89;278
213;277
143;276
147;276
118;275
198;275
200;275
197;275
250;274
41;274
162;274
301;274
35;274
224;273
219;273
109;272
47;272
215;272
179;272
3;271
191;271
136;271
139;271
81;268
132;267
51;267
140;267
106;267
156;266
148;266
71;266
272;266
15;265
50;265
42;264
28;264
150;264
166;264
78;264
99;264
156;263
289;263
259;262
112;261
151;261
213;260
277;260
237;259
227;259
183;259
159;259
93;259
3;259
8;259
308;259
210;258
269;257
222;257
96;257
270;256
230;255
84;255
87;254
151;254
130;254
122;253
114;253
232;253
230;252
123;251
227;251
145;250
301;250
29;250
223;250
164;250
300;250
299;250
168;250
202;250
170;249
80;249
55;249
37;249
283;248
24;248
90;248
122;247
114;247
232;247
253;247
110;247
112;245
76;245
1;245
37;245
80;245
55;245
87;245
151;245
214;244
156;243
148;243
71;243
266;243
91;243
26;243
307;242
20;242
150;241
166;241
78;241
99;241
95;239
35;238
162;238
270;236
256;236
217;236
244;236
288;236
83;236
88;236
82;236
15;235
3;234
270;233
256;233
217;233
236;233
122;232
114;232
178;229
272;229
184;229
3;229
215;229
264;228
155;228
123;227
304;225
196;225
305;224
3;224
150;224
107;224
14;224
105;224
29;223
269;222
110;221
113;221
295;220
224;219
237;218
259;218
121;218
270;217
256;217
296;216
259;215
262;215
289;215
160;215
292;215
8;215
308;215
122;212
114;212
232;212
253;212
110;212
247;212
168;212
177;212
27;211
104;211
278;211
278;209
104;209
60;209
231;208
53;208
117;208
186;208
21;207
104;207
284;207
145;205
250;205
134;205
300;205
3;205
133;205
38;205
128;205
205;205
187;205
22;205
201;205
118;205
198;205
200;205
197;205
275;205
195;204
153;204
87;204
151;204
245;204
213;203
277;203
260;203
118;200
198;200
118;198
118;197
198;197
200;197
304;196
15;194
50;194
265;194
147;194
161;193
127;193
136;193
295;192
220;192
3;191
201;190
35;190
246;189
153;189
231;186
53;186
117;186
95;185
239;185
272;184
289;183
227;183
93;183
175;181
4;181
178;180
229;180
122;177
114;177
232;177
253;177
110;177
247;177
168;177
210;176
258;176
112;174
151;174
261;174
300;173
205;173
300;172
205;172
58;171
54;171
152;171
153;171
300;169
145;169
110;168
113;168
221;168
7;168
122;168
114;168
232;168
253;168
247;168
299;168
35;168
81;167
293;167
150;166
199;165
145;165
35;165
29;164
223;164
300;163
35;163
250;162
41;162
162;162
134;162
205;162
300;162
81;162
268;162
145;162
301;162
193;160
289;157
183;157
50;157
287;157
136;157
264;155
272;155
266;155
50;154
246;153
98;153
151;153
18;153
112;153
76;153
80;153
152;153
206;153
195;153
87;151
98;151
206;151
112;151
305;150
3;150
179;150
272;150
15;149
50;149
265;149
147;149
194;149
93;149
183;149
3;149
259;149
272;149
184;149
229;149
115;149
16;149
52;149
156;148
15;147
50;147
265;147
143;147
289;146
183;146
50;146
157;146
154;146
68;146
95;146
239;146
185;146
290;146
94;146
86;146
244;146
288;146
83;146
236;146
64;145
35;145
275;145
79;145
145;145
199;145
300;145
22;145
81;145
268;145
168;145
5;145
230;145
252;145
125;145
84;145
255;145
202;145
272;144
32;142
120;142
101;142
280;141
298;141
94;141
132;140
51;140
136;139
104;138
102;138
15;137
235;137
46;136
306;136
73;136
103;136
291;136
89;136
278;136
127;136
287;136
69;136
308;136
44;136
187;135
205;135
301;135
300;133
3;133
162;133
226;131
65;131
87;130
151;130
98;130
104;129
278;129
38;128
35;128
178;127
229;127
180;127
227;127
183;127
259;127
159;127
104;127
42;127
28;127
264;127
155;127
228;127
215;127
272;127
179;127
150;127
144;127
297;127
240;127
45;127
279;127
65;127
266;127
69;127
308;127
44;127
58;126
171;126
56;126
87;126
151;126
19;126
98;126
77;126
230;125
252;125
32;120
3;119
23;118
72;118
231;117
53;117
85;116
122;114
110;113
145;111
35;111
122;110
114;110
232;110
253;110
305;107
3;107
150;107
191;107
271;107
119;107
14;107
105;107
15;106
235;106
137;106
182;106
123;106
227;106
251;106
132;106
51;106
140;106
106;106
210;106
258;106
176;106
3;106
191;106
271;106
107;106
119;106
14;106
158;106
48;106
161;106
193;106
85;106
116;106
305;105
3;105
150;105
124;104
278;104
30;104
12;104
285;104
103;104
188;104
21;104
60;104
284;104
27;104
159;104
259;104
285;103
278;103
46;103
306;103
73;103
104;102
32;101
120;101
60;100
104;100
209;100
150;99
166;99
78;99
54;98
171;98
206;98
87;98
104;97
278;97
129;97
269;96
222;96
290;94
280;94
298;94
195;92
153;92
204;92
156;91
148;91
71;91
266;91
283;90
24;90
46;89
306;89
73;89
103;89
291;89
290;86
94;86
230;84
244;83
288;83
88;82
112;80
76;80
170;80
37;80
275;79
150;78
166;78
98;77
151;77
112;76
54;76
171;76
98;76
278;75
104;75
62;74
57;74
46;73
306;73
23;72
156;71
148;71
127;70
136;70
193;70
13;70
50;68
154;68
278;67
104;67
75;67
214;66
244;66
281;65
240;65
45;65
279;65
226;65
133;63
35;63
187;61
205;61
301;61
135;61
280;59
298;59
94;59
141;59
62;57
104;57
209;57
33;57
58;56
171;56
170;55
80;55
152;55
153;55
171;55
37;55
231;53
115;52
16;52
132;51
289;50
183;50
15;50
156;50
263;50
237;50
259;50
218;50
132;50
51;50
140;50
106;50
267;50
20;50
121;50
49;50
148;50
71;50
266;50
91;50
26;50
243;50
109;50
47;50
272;50
81;50
293;50
167;50
244;50
288;50
83;50
236;50
121;49
218;49
158;48
109;47
240;45
69;44
308;44
106;43
250;41
202;41
145;41
127;40
209;39
278;39
145;36
35;36
111;36
300;36
250;36
104;35
102;35
138;35
64;35
35;35
300;35
133;35
205;35
38;35
162;35
22;35
81;35
268;35
301;35
201;35
29;35
223;35
164;35
250;35
299;35
300;34
35;34
304;33
196;33
225;33
302;33
104;33
209;33
108;31
278;31
124;30
278;30
42;28
156;26
148;26
71;26
266;26
91;26
213;25
277;25
260;25
203;25
283;25
24;25
90;25
248;25
3;25
234;25
286;25
23;25
72;25
118;25
226;25
65;25
131;25
283;24
132;20
51;20
140;20
106;20
267;20
281;20
65;20
289;20
307;20
87;19
151;19
98;19
98;18
151;18
246;17
153;17
189;17
115;16
143;15
276;15
3;14
119;14
43;14
305;14
150;14
127;13
136;13
193;13
108;12
31;12
285;12
205;11
35;11
296;10
216;10
295;9
220;9
192;9
110;7
113;7
221;7
272;6
266;6
127;6
155;6
168;5
175;4
127;3
40;3
270;3
256;3
217;3
236;3
233;3
305;3
219;3
273;3
59;3
3;3
175;3
4;3
181;3
166;3
78;3
99;3
241;3
2;3
93;3
183;3
264;3
136;3
193;3
13;3
70;3
160;3
292;3
215;3
272;3
184;3
115;3
16;3
52;3
104;3
102;3
138;3
35;3
303;3
139;3
287;3
157;3
307;3
20;3
242;3
266;3
155;3
6;3
294;3
269;3
222;3
96;3
257;3
88;3
82;3
300;3
150;2
166;2
78;2
99;2
241;2
112;1
76;1
