id;name;size;team;country;speciality;academic role;ph role
1;Ângela Pité;1;PT;;0;;reviewers
2;Abby Schreiber;2;EN;EN;0;;reviewers
3;Adam Crymble;63;EN;UK;digital history;Senior Lecturer;editor
4;Adam Dennett;1;EN;EN;0;;reviewers
5;Adriana Cásarez;1;ES;ES;0;;reviewers
6;Alan MacEachern;1;EN;EN;history;;reviewers
7;Aldo Barriente;1;ES;ES;0;;reviewers
8;Alex Brey;1;EN;EN;visual arts;Assistant Professor;authors
9;Alex Wermer-Colan;1;EN;USA;0;;editor
10;Alexandre Bartz;1;FR;FR;digital humanities;MSc;reviewers
11;Alicia Calvo;1;ES;ES;0;;reviewers
12;Alix Chagué;3;FR;FR;digital humanities;Phd;reviewers
13;Allison Hegel;2;EN;DE;english studies;Post-doc;reviewers
14;Amanda Morton;7;EN;EN;digital history;;reviewers
15;Amanda Visconti;3;EN;US;digital humanities;Assistant Professor;authors
16;Amber Stubbs;1;EN;EN;0;;reviewers
17;Ana Alcântara;1;PT;;0;;reviewers
18;Ana Carolina Erthal;1;PT;;0;;reviewers
19;Ana Giulia Aldgeire;2;PT;;0;;reviewers
20;Anandi Silva Knuppel;3;EN;EN;digital humanities;;reviewers
21;Anastasiia Zadykhina;1;FR;FR;digital humanities;;translator
22;Andrés Gattinoni;1;ES;AR;literature;Phd;translator
23;Andrew Akhlaghi;1;EN;US;0;MA;authors
24;Andrew Janco;1;EN;EN;0;;authors
25;Anna-Maria Sichani;5;EN;UK;digital humanities and history;Researcher;editor
26;Anne Chao;1;EN;EN;mathematic;;reviewers
27;Anne-Sophie Bessero-Lagarde;1;FR;FR;0;;translator
28;Anouk Lang;1;EN;EN;library science;;reviewers
29;Anthony Picón Rodríguez;1;ES;ES;0;;authors
30;Antoine Champigny;1;FR;FR;0;;reviewers
31;Antoine Courtin;1;FR;FR;art history;Chef du service numÃ©rique de la recherche;reviewers
32;Antoine Gourlay;1;FR;FR;0;;translator
33;Antoine Henry;2;FR;FR;0;;reviewers
34;Antonio Jesús Sánchez Padial;1;ES;ES;computer science;Jefe de Servicio de BiometrÃ­a;reviewers
35;Antonio Rojas Castro;46;ES;DE;literature;Post-doc;reviewers
36;Antonio Sánchez-Padial;2;ES;ES;computer science;M.Sc. Software Engineering;reviewers
37;Aracele Torres;2;PT;BR;history;Phd;translator
38;Armando Luza;1;ES;ES;translation;;authors
39;Arthur Perret;1;FR;FR;library science;Master;reviewers
40;Aurélien Berra;1;EN;FR;sci; None;reviewers
41;Basthian Medina;2;ES;CL;literature;Magister;reviewers
42;Beatrice Alex;1;EN;EN;linguistics;;authors
43;Ben Hurwitz;1;EN;US;mathematic;Bachelor;reviewers
44;Ben Schmidt;1;EN;EN;history;;reviewers
45;Boris Capitanu;1;EN;EN;computer science;;authors
46;Brad Rittenhouse;1;EN;EN;digital humanities;;authors
47;Brandee Easter;1;EN;EN;0;;reviewers
48;Brandon Hawk;1;EN;US;history;MA;reviewers
49;Brandon Locke;1;EN;EN;0;;reviewers
50;Brandon Walsh;11;EN;USA;digital humanities;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;editor
