pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;orcid_id;digital humanities;digital history;history;literature;public history;18th century;archaeology;book history;contemporary history;digital humanities;digital libraries;education;iberian culture;information science;network analysis;political economy;sound studies;text analysis;web archives;before PH;During PH;After PH
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;0;0;0000-0002-9029-5564;;;;;;;;;;;;;;;;;;;;;Phd;
François Dominic Laramée;20/02/2018;10/06/2021;3;14;2;0;0;1;1;0;3;5;6;0000-0001-5542-3754;;;1;;;1;;;;;;;;;;;;;;Bachelor;Phd;
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;0000-0001-5759-4944;;;;;;;1;;;;;;;;;;;;; Msc in Material Sciences in Cultural Heritage;;
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;0000-0001-7503-8685;;;;;;;;;;;;;;;;;;;;Bachelor;;
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;0000-0002-4553-8993;;;;;;;;;;;;;;;;;;;;;;
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;0000-0001-8627-8991;;;;;;;;;;;;;;;;;;;;;;
Alix Chagué;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;1;0;2;0000-0002-0136-4434;;;;;;;;;;;;;;;;;;;;;;Phd
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;2;0;1;0000-0001-9288-1754;;;;;;;;;;;;;;;;;;;; None;;
Frédéric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;1;0;0;0;1;0000-0002-0237-2532;;1;;;;;;;1;;;;;;;;;;;DEA;;
Déborah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-2128-0641;;;1;;;;;;;;;;;;;;;;;History & Geography teacher;;
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-3440-6039;;;;;;;;;;;;;;;;;;;;Senior Lecturer;;
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1;0000-0003-4482-7897;;;;;;;;;;;;;;;;;;;;;;
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;0;0;0000-0002-9189-258X;;;;;;;;;;;;;;;;;;;;;;
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;0;0;1;1;3;0000-0002-2475-3184;;;;;;;;;;;;;;;;;;;; None;;
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;1;0;0000-0001-9488-5986;;;;;;;;;;;;;;;;;;;;;;
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;0;1;0000-0003-0850-8266;1;;1;;;;;;;;;;;;;;;;;Msc;;
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0003-0275-5143;1;;;;;;;;;;;;;;;;;;;Engineer;Chef du service numérique de la recherche;Chargé de développement des ressources numériques du Centre de Ressources et de Recherches 
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;0;0;0000-0003-1286-3893;;;;;;;;;;;;;;;;;;;;Certificate;;
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;0000-0001-5318-9167;;;;;;;;;;;;;;;;;;;;;;
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;0000-0002-4903-1372;;;;;;;;;;;;;;;;;;;; None;;
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;0;1;0;0;1;0000-0003-4722-4610;;;;;;;;;;;;;;;;;;;;;;
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;0;0;0;0;2;0000-0001-5452-3913;;;;;;;;;;;;;;;;;;;;Master;Post-doc;Enseignante-chercheuse
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-1951-6942;1;;;;;;;;;;;;;;;;;;; None;;Visiting lecturer
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0003-3184-3943;1;1;1;;;;;;;;;;;;1;;;;;MA History and Philosophy;;
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-4130-6669;;;;;;;;;;;;;;;;;;;;Master;;
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0003-3867-9138;1;;;;;;;1;;;;;;;;;;;;Phd;Clinical Assistant Professor and Director of Digital Media Lab;Assistant Professor
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;0;0;0000-0001-5802-6623;;;;;;;;;;;;;;;;;;;;Digital Scholarship Specialist / IT Analyst;;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;0;0;0000-0003-1891-1112;;;;;;;;;;;;;;1;;;;;1; None;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0276-8078;;;;;;;;;;;;;;;;;;;;Bachelor;;
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;0;0;0000-0002-1470-7723;;1;;;;;;;;;;;;;;;;1;1;Bachelor;Assistant Professor;Associate Vice-President, Research Oversight and Analysis
Aurélien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1695-8497;;;;;;;;;;;;;;;;;;;; None;;
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;21;0;17;0;0000-0003-4343-0265;1;1;1;;;;;;;;;;;;;;;;;;Project Manager;Lecturer
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;0;0;0000-0002-3575-1512;;;;;;;;;;;;;;;;;;;;Bachelor;;
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;0;0;0000-0003-4629-8888;;;;;;;;;;;;;;;;;;;;;;
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;0;0;0000-0002-2785-3519;;;;;;;;;;;;;;;;;;;;;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;0;0;0000-0002-7998-940X;;;;;;;;;;;;;;;;;;;; None;;
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;0;0;0000-0002-9364-2808;;;;;;;;;;;;;;;;;;;;Bachelor;Phd;Assistant Professor
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-5750-5988;;;;;;;;;;;;;;;;;;;;;; None
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;0000-0001-7204-6428;;;;;;;;;;;;;;;;;;;;Phd;;
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;0;0;0000-0001-8584-8323;;;;;;;;;;;;;;;;;;;;Various roles (research fellow, webmaster, research assistant);;
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0001-8076-7356;;;;;;;;;;;;;;;;;;;;Digital Scholarship Postdoctoral Fellow;Digital Humanities Librarian;Librarian
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6834-0250;;;;;;;;;;;;;;;;;;;;;Phd;Lecturer
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;0;0;0000-0003-2158-866X;;;;;;;;;;;;;;;;;;;;;Assistant Professor;
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4558-3310;;;;;;;;;;;;;;;;;;;;Phd;;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0;0000-0003-4734-9894;;;;;;;;;;;;;;;;;;;;Phd;;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;0000-0003-2004-5161;;;;;;;;;;;;;;;;;;;;;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0002-9126-2991;;;;;;;;;;;;;;;;;;;;Bachelor;;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;0000-0003-4981-1587;;;;;;;;;;;;;;;;;;;;Adjunct Professor;;
