Source;Target;size
1;2;2
1;3;2
1;4;2
2;3;2
2;4;13
3;4;2
5;6;2
5;7;2
5;8;2
5;9;2
5;2;2
6;7;2
6;8;2
6;9;2
6;2;2
7;8;2
7;9;2
7;2;2
8;9;2
8;2;2
9;2;2
10;2;4
10;4;3
10;11;2
2;11;2
4;11;2
12;2;4
12;13;2
12;4;3
2;13;3
13;4;2
2;14;2
2;15;2
4;14;2
4;15;2
14;15;2
16;17;2
16;18;2
17;18;2
19;20;2
19;21;2
19;22;2
20;21;2
20;22;2
21;22;2
23;2;2
23;4;2
2;24;4
4;24;5
11;25;2
11;26;2
25;26;2
27;2;2
27;28;2
27;12;2
27;10;2
2;28;2
28;12;2
28;10;2
12;10;3
29;30;2
29;31;2
29;32;2
29;33;2
29;2;2
30;31;2
30;32;2
30;33;2
30;2;2
31;32;2
31;33;2
31;2;2
32;33;2
32;2;2
33;2;2
4;34;2
4;35;2
2;34;2
2;35;2
34;35;2
36;4;2
36;37;2
36;2;2
4;37;3
37;2;3
38;4;2
38;24;2
38;39;2
4;39;2
24;39;2
40;2;2
40;4;2
40;37;2
41;4;2
41;2;2
41;42;2
4;42;2
2;42;2
24;43;2
2;43;2
4;33;2
4;17;2
24;33;2
24;17;2
33;17;2
44;45;2
44;46;2
44;47;2
45;46;2
45;47;2
46;47;2
48;49;2
48;50;2
48;51;2
49;50;2
49;51;3
50;51;2
51;52;2
51;53;5
52;53;2
54;55;2
54;56;3
54;57;2
54;58;2
55;56;2
55;57;2
55;58;2
56;57;2
56;58;4
57;58;2
59;60;2
59;61;2
59;13;2
59;62;2
59;63;2
59;2;2
59;64;2
60;61;2
60;13;2
60;62;2
60;63;2
60;2;2
60;64;2
61;13;2
61;62;2
61;63;2
61;2;2
61;64;2
13;62;2
13;63;2
13;64;2
62;63;2
62;2;2
62;64;2
63;2;2
63;64;2
2;64;2
65;66;2
65;67;2
65;68;2
66;67;2
66;68;2
67;68;2
69;70;2
69;71;2
69;72;2
69;73;2
69;53;2
70;71;2
70;72;2
70;73;2
70;53;2
71;72;2
71;73;2
71;53;2
72;73;2
72;53;3
73;53;2
74;68;2
75;76;2
75;77;2
75;78;2
76;77;2
76;78;2
77;78;2
79;53;22
79;80;18
79;81;18
53;80;22
53;81;20
80;81;18
65;56;2
65;82;2
65;83;3
65;84;2
65;85;2
56;82;2
56;83;2
56;84;2
56;85;2
82;83;2
82;84;2
82;85;2
83;84;2
83;85;2
84;85;2
86;54;2
86;87;2
86;56;3
54;87;2
87;56;2
88;89;2
88;90;2
88;68;2
89;90;2
89;68;2
90;68;2
91;92;2
91;54;2
91;93;3
92;54;2
92;93;2
54;93;2
79;94;9
53;94;11
80;94;9
94;81;9
81;95;2
81;96;2
95;96;2
95;53;2
96;53;2
97;91;2
97;98;2
97;56;2
91;98;2
91;56;2
98;56;3
99;100;2
99;101;2
99;68;3
99;102;2
99;103;2
99;56;2
100;101;2
100;68;3
100;102;2
100;103;2
100;56;2
101;68;3
101;102;2
101;103;2
101;56;2
68;102;3
68;103;3
68;68;3
68;56;3
102;103;2
102;56;2
