pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total_contrib;orcid;
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;21;0;17;0;63;0000-0003-4343-0265;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0;20;0000-0003-4734-9894;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;22;0000-0003-2004-5161;
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;0;0;14;0000-0002-1470-7723;
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;4;0000-0002-1568-8843;
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;4;0000-0001-6268-8945;
James Baker;30/04/2014;16/10/2019;5;0;6;0;0;3;1;2;0;0;0;6;;
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;0;0;6;0000-0002-2887-3554;
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;0;0;19;;0000-0003-1789-2300
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;0;0;11;0000-0002-2785-3519;
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;0;0;3;0000-0001-8584-8323;
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0;2;0000-0002-5440-062X;
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;0;0;2;0000-0001-9792-9446;
Nicolás Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;0;0;2;0000-0002-2877-0539;
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;3;4;4;2;5;19;0000-0002-4295-895X;
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;1;0000-0001-5759-4944;
Fred Gibbs;11/11/2012;10/08/2018;6;0;12;0;0;1;1;10;0;0;0;12;;
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;0;0;6;0000-0001-7934-6845;
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;0;0;4;0000-0002-3575-1512;
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0;4;0000-0002-4387-3384;
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;0;0;4;0000-0003-0774-4777;
M. H. Beals;20/09/2014;24/07/2016;2;0;4;0;0;1;3;0;0;0;0;4;;
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;0;1;0;1;1;4;0000-0002-9723-4262;
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;0;0;3;0000-0003-4629-8888;
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;0;0;2;0000-0001-5802-6623;
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;0;0;2;;
Caleb McDaniel;03/03/2014;24/04/2017;3;0;2;0;0;1;0;1;0;0;0;2;;
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;0;0;2;0000-0002-5044-5038;
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;0;0;2;0000-0001-9759-8464;
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;0;0;2;0000-0001-6122-0777;
Silvia Gutiérrez De la Torre;20/04/2019;30/08/2021;2;0;0;0;2;1;1;0;0;0;0;2;;0000-0001-8717-2291
Gabriel Calarco;01/03/2021;14/12/2021;0;0;0;0;2;1;0;0;1;0;0;2;;0000-0002-7841-6538
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0;1;0000-0001-7503-8685;
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;0;0;1;0000-0003-1286-3893;
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-9029-5564;
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-3867-9138;
Kellen Kurschinski;13/09/2013;13/09/2013;0;0;1;0;0;1;0;0;0;0;0;1;;
Brad Rittenhouse;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-0669-8724;
Ximin Mi;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;;
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-5750-5988;
Seth van Hooland;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-2612-2228;
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-8596-222X;
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-6834-0250;
