pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;0;0
Sofia Papastamkou;10/04/2019;01/04/2022;3;16;1;0;0;0;0;3;2;10;2
Antoine Champigny;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;0;0;1
François Dominic Laramée;20/02/2018;10/06/2021;3;14;2;0;0;1;1;0;3;5;6
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;0;0
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0
Alix Chagué;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;1;0;2
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;0;0;1;0;1
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;2;0;1
Frédéric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;1;0;0;0;1
Déborah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1
Carla Amaya;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;1;0;0
Célian Ringwald;10/06/2021;10/09/2021;0;2;0;0;0;0;0;0;0;1;1
Cyrille Suire;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;0;0;1
Antoine Gourlay;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;1;0;0
Gwenaëlle Patat;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;1;0
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1
Jean-Luc Mirepoix;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;0;0
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;0;0;1;1;3
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;1;0
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;0;1
Géraldine Castel;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;1;0;0
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;0;0;1
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;0;0
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0
Morgane Pica;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;0;1;0;0;1
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1
Fanny Mézard;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1
Anastasiia Zadykhina;30/07/2020;30/07/2020;0;1;0;0;0;0;0;0;1;0;0
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;0;0;0;0;2
Camille Carette;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;1;0;0
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;0;0;1
